variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
Distance,-0.002630307635723551,0.0014919788041926395,-1.7629658198441365,0.07790625463183073,RS.glm.M.13,n ~ Distance + origin,664.8873269856703,192.0987502129075,272,195.41234434882423,274,4,5.122733201742249e-4,13.013355409297674
originHatchery,0.040886714569157635,0.27852817509583067,0.14679561432192673,0.8832933464475752,RS.glm.M.13,n ~ Distance + origin,664.8873269856703,192.0987502129075,272,195.41234434882423,274,4,5.122733201742249e-4,13.013355409297674
(Intercept),-324.93830360145506,324.0360138656376,-1.0027845353516527,0.3159648319407065,RS.glm.M.6,n ~ `Sample Date`,665.2323722113882,191.4757611901419,273,192.39973060617055,274,3,4.310981102587509e-4,13.358400635015641
`Sample Date`,0.01991333495141671,0.019865123107200733,1.0024269592469075,0.316137426926121,RS.glm.M.6,n ~ `Sample Date`,665.2323722113882,191.4757611901419,273,192.39973060617055,274,3,4.310981102587509e-4,13.358400635015641
(Intercept),-384.3488331179481,349.8083537811094,-1.0987411505857068,0.27188098784783915,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,665.6942420501654,192.26412157960533,271,196.80852854205935,274,5,3.4220185382678156e-4,13.820270473792789
`Sample Date`,0.023609582391838687,0.021445158238377678,1.1009283368022724,0.2709278480154652,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,665.6942420501654,192.26412157960533,271,196.80852854205935,274,5,3.4220185382678156e-4,13.820270473792789
Distance,-0.0025278185267502795,0.0014981446247325546,-1.687299400217479,0.09154579627944064,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,665.6942420501654,192.26412157960533,271,196.80852854205935,274,5,3.4220185382678156e-4,13.820270473792789
originHatchery,-0.06849926990503913,0.3019574866529136,-0.2268507089005411,0.8205398314050394,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,665.6942420501654,192.26412157960533,271,196.80852854205935,274,5,3.4220185382678156e-4,13.820270473792789
(Intercept),-0.0279087881170768,0.21513301601674503,-0.1297280567800179,0.8967815840376324,RS.glm.M.4,n ~ origin,665.8903677588046,191.3569029087748,273,191.61968705169036,274,3,3.1023743525886594e-4,14.016396182432004
originHatchery,-0.1424365776301617,0.2786047574874078,-0.5112496244311243,0.6091762743556332,RS.glm.M.4,n ~ origin,665.8903677588046,191.3569029087748,273,191.61968705169036,274,3,3.1023743525886594e-4,14.016396182432004
(Intercept),-0.0829969195709689,0.15029500270308013,-0.5522267412638862,0.5807930152343068,RS.glm.M.18,n ~ Intertidal,665.9334508340517,191.34426691853625,273,191.56387326609038,274,3,3.03625910741565e-4,14.059479257679072
IntertidalUpstream,-0.17123721881327192,0.36182070415725925,-0.4732653959427556,0.6360238467777694,RS.glm.M.18,n ~ Intertidal,665.9334508340517,191.34426691853625,273,191.56387326609038,274,3,3.03625910741565e-4,14.059479257679072
(Intercept),-419.1238831554374,349.1817932904218,-1.200302797021388,0.23002176388951723,RS.glm.M.10,n ~ `Sample Date` + origin,666.5018436805608,191.68397270880467,272,193.34699747600098,274,4,2.2851456809103567e-4,14.627872104188214
`Sample Date`,0.02569627670011286,0.02141086591336438,1.20015121313116,0.23008061880868755,RS.glm.M.10,n ~ `Sample Date` + origin,666.5018436805608,191.68397270880467,272,193.34699747600098,274,4,2.2851456809103567e-4,14.627872104188214
originHatchery,-0.24884542331011483,0.3000810743954744,-0.8292606383505662,0.40695693882667444,RS.glm.M.10,n ~ `Sample Date` + origin,666.5018436805608,191.68397270880467,272,193.34699747600098,274,4,2.2851456809103567e-4,14.627872104188214
