seg,vert,snapdist,Sample,Latitude,Longitude,mouthdist,hitide,dist2tide
2,999,6.574125025998738,0000002035_1,60.304828716961694,-147.183673371949,121.2817832545345,323.0713775595575,-201.789594305023
2,999,6.574125025998738,0000002035_2,60.304828716961694,-147.183673371949,121.2817832545345,323.0713775595575,-201.789594305023
2,999,6.574125025998738,0000002035_3,60.304828716961694,-147.183673371949,121.2817832545345,323.0713775595575,-201.789594305023
2,999,6.574125025998738,0000002035_4,60.304828716961694,-147.183673371949,121.2817832545345,323.0713775595575,-201.789594305023
2,999,6.574125025998738,0000002035_5,60.304828716961694,-147.183673371949,121.2817832545345,323.0713775595575,-201.789594305023
2,815,9.38913414126663,0000002035_6,60.3035451720835,-147.18324256228098,302.07137755957876,323.0713775595575,-20.99999999997874
2,423,23.674515705614034,0000002035_7,60.3005755246115,-147.180960505755,688.6148506232752,323.0713775595575,365.54347306371767
2,423,23.674515705614034,0000002035_8,60.3005755246115,-147.180960505755,688.6148506232752,323.0713775595575,365.54347306371767
2,1037,5.639244117034282,0000002037_1,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_10,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_11,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_12,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_13,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_14,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_15,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_16,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_17,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_18,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_19,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_2,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_20,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_21,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_22,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_23,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,1037,5.639244117034282,0000002037_24,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
2,766,5.4462106192640105,0000002037_25,60.30314380205,-147.183136537088,350.1477340926274,323.0713775595575,27.076356533069884
2,766,5.4462106192640105,0000002037_26,60.30314380205,-147.183136537088,350.1477340926274,323.0713775595575,27.076356533069884
2,766,5.4462106192640105,0000002037_27,60.30314380205,-147.183136537088,350.1477340926274,323.0713775595575,27.076356533069884
2,766,5.4462106192640105,0000002037_28,60.30314380205,-147.183136537088,350.1477340926274,323.0713775595575,27.076356533069884
2,766,5.4462106192640105,0000002037_29,60.30314380205,-147.183136537088,350.1477340926274,323.0713775595575,27.076356533069884
2,1037,5.639244117034282,0000002037_3,60.3050314339288,-147.184179509757,83.90219082221438,323.0713775595575,-239.16918673734313
