Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2,Posterior Parent 1,Posterior Parent 2
PH16_00002,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00012,296,PH14_00050,295,,,4.601336E+001,1.0000,296,1,376,275,4.627560E+001,,1.0000,1.0000,<
PH16_00013,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00018,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00025,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00028,296,,,,,0.000000E+000,1.0000,296,0,376,275,,,1.0000,1.0000,<
PH16_00029,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00030,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00037,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00042,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00056,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00062,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00067,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00075,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00081,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00086,291,,,,,0.000000E+000,1.0000,291,0,376,275,,,1.0000,1.0000,<
PH16_00088,266,PH14_00840,296,,,4.023998E+001,1.0000,266,0,376,275,4.043403E+001,,1.0000,1.0000,<
PH16_00090,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00099,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00101,296,,,,,0.000000E+000,1.0000,296,0,376,275,,,1.0000,1.0000,<
PH16_00105,294,,,,,0.000000E+000,1.0000,294,0,376,275,,,1.0000,1.0000,<
PH16_00107,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00108,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00109,260,PH14_02410,290,PH14_01956,298,1.001203E+002,1.0000,260,3,376,275,3.559953E+001,4.595084E+001,1.0000,1.0000,<
PH16_00111,296,,,,,0.000000E+000,1.0000,296,0,376,275,,,1.0000,1.0000,<
PH16_00112,298,PH14_02453,298,,,4.718271E+001,1.0000,298,1,376,275,4.719181E+001,,1.0000,1.0000,<
PH16_00113,288,,,,,0.000000E+000,1.0000,288,0,376,275,,,1.0000,1.0000,<
PH16_00114,296,PH14_02091,296,,,5.364472E+001,1.0000,296,0,376,275,5.379227E+001,,1.0000,1.0000,<
PH16_00117,296,,,,,0.000000E+000,1.0000,296,0,376,275,,,1.0000,1.0000,<
PH16_00118,293,,,,,0.000000E+000,1.0000,293,0,376,275,,,1.0000,1.0000,<
PH16_00126,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00127,293,,,,,0.000000E+000,1.0000,293,0,376,275,,,1.0000,1.0000,<
PH16_00128,296,,,,,0.000000E+000,1.0000,296,0,376,275,,,1.0000,1.0000,<
PH16_00131,294,,,,,0.000000E+000,1.0000,294,0,376,275,,,1.0000,1.0000,<
PH16_00138,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00139,298,,,,,0.000000E+000,1.0000,298,0,376,275,,,1.0000,1.0000,<
PH16_00140,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
PH16_00141,297,,,,,0.000000E+000,1.0000,297,0,376,275,,,1.0000,1.0000,<
