franz_id,SILLY,Fish ID,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,Sex,date,DOY
PH13_00001,PHOGAN13,1,1300001663,1,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00004,PHOGAN13,4,1300001663,4,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00005,PHOGAN13,5,1300001663,5,2013,17-AUG-13,F,404,NO,NA,Natural,Female,2013-08-17,229
PH13_00006,PHOGAN13,6,1300001663,6,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00007,PHOGAN13,7,1300001663,7,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00008,PHOGAN13,8,1300001663,8,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00009,PHOGAN13,9,1300001663,9,2013,17-AUG-13,M,408,NO,NA,Natural,Male,2013-08-17,229
PH13_00010,PHOGAN13,10,1300001663,10,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00011,PHOGAN13,11,1300001663,11,2013,17-AUG-13,F,391,NO,NA,Natural,Female,2013-08-17,229
PH13_00012,PHOGAN13,12,1300001663,12,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00013,PHOGAN13,13,1300001663,13,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00014,PHOGAN13,14,1300001663,14,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00015,PHOGAN13,15,1300001663,15,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00016,PHOGAN13,16,1300001663,16,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00017,PHOGAN13,17,1300001663,17,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00018,PHOGAN13,18,1300001663,18,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00020,PHOGAN13,20,1300001663,20,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00021,PHOGAN13,21,1300001663,21,2013,17-AUG-13,F,370,NO,NA,Natural,Female,2013-08-17,229
PH13_00022,PHOGAN13,22,1300001663,22,2013,17-AUG-13,F,379,NO,NA,Natural,Female,2013-08-17,229
PH13_00023,PHOGAN13,23,1300001663,23,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00024,PHOGAN13,24,1300001663,24,2013,17-AUG-13,M,432,NO,NA,Natural,Male,2013-08-17,229
PH13_00025,PHOGAN13,25,1300001663,25,2013,17-AUG-13,M,419,NO,NA,Natural,Male,2013-08-17,229
PH13_00026,PHOGAN13,26,1300001663,26,2013,17-AUG-13,M,345,NO,NA,Natural,Male,2013-08-17,229
PH13_00027,PHOGAN13,27,1300001663,27,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00028,PHOGAN13,28,1300001663,28,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00029,PHOGAN13,29,1300001663,29,2013,17-AUG-13,M,394,NO,NA,Natural,Male,2013-08-17,229
PH13_00030,PHOGAN13,30,1300001663,30,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00031,PHOGAN13,31,1300001663,31,2013,17-AUG-13,M,431,NO,NA,Natural,Male,2013-08-17,229
PH13_00032,PHOGAN13,32,1300001663,32,2013,17-AUG-13,M,402,NO,NA,Natural,Male,2013-08-17,229
PH13_00033,PHOGAN13,33,1300001663,33,2013,17-AUG-13,F,367,NO,NA,Natural,Female,2013-08-17,229
PH13_00034,PHOGAN13,34,1300001663,34,2013,17-AUG-13,F,348,NO,NA,Natural,Female,2013-08-17,229
PH13_00035,PHOGAN13,35,1300001663,35,2013,17-AUG-13,M,374,NO,NA,Natural,Male,2013-08-17,229
PH13_00037,PHOGAN13,37,1300001663,37,2013,17-AUG-13,F,436,NO,NA,Natural,Female,2013-08-17,229
PH13_00038,PHOGAN13,38,1300001663,38,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00039,PHOGAN13,39,1300001663,39,2013,17-AUG-13,M,411,NO,NA,Natural,Male,2013-08-17,229
PH13_00040,PHOGAN13,40,1300001663,40,2013,17-AUG-13,M,346,NO,NA,Natural,Male,2013-08-17,229
PH13_00041,PHOGAN13,41,1300001663,41,2013,17-AUG-13,M,428,NO,NA,Natural,Male,2013-08-17,229
PH13_00042,PHOGAN13,42,1300001663,42,2013,17-AUG-13,M,445,NO,NA,Natural,Male,2013-08-17,229
PH13_00043,PHOGAN13,43,1300001663,43,2013,17-AUG-13,F,400,NO,NA,Natural,Female,2013-08-17,229
PH13_00044,PHOGAN13,44,1300001663,44,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00045,PHOGAN13,45,1300001663,45,2013,17-AUG-13,M,417,NO,NA,Natural,Male,2013-08-17,229
PH13_00046,PHOGAN13,46,1300001663,46,2013,17-AUG-13,F,436,NO,NA,Natural,Female,2013-08-17,229
PH13_00047,PHOGAN13,47,1300001663,47,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00048,PHOGAN13,48,1300001663,48,2013,17-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-17,229
PH13_00049,PHOGAN13,49,1300001700,1,2013,17-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-17,229
PH13_00050,PHOGAN13,50,1300001700,2,2013,17-AUG-13,M,345,NO,NA,Natural,Male,2013-08-17,229
PH13_00051,PHOGAN13,51,1300001700,3,2013,17-AUG-13,M,423,NO,NA,Natural,Male,2013-08-17,229
