franz_id,SILLY,Fish ID,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,Sex,date,DOY,n,lineage
PS14_00001,PSTOCK14,1,1400000829,1,2014,2014-08-30,M,460,YES,AFK12B,Hatchery,Male,2014-08-30,242,1,even
PS14_00002,PSTOCK14,2,1400000829,2,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00003,PSTOCK14,3,1400000829,3,2014,2014-08-30,F,430,NO,NA,Natural,Female,2014-08-30,242,1,even
PS14_00004,PSTOCK14,4,1400000829,4,2014,2014-08-30,M,425,YES,AFK12B,Hatchery,Male,2014-08-30,242,2,even
PS14_00005,PSTOCK14,5,1400000829,5,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,3,even
PS14_00006,PSTOCK14,6,1400000829,6,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,1,even
PS14_00012,PSTOCK14,12,1400000829,12,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00015,PSTOCK14,15,1400000829,15,2014,2014-08-30,F,460,NO,NA,Natural,Female,2014-08-30,242,1,even
PS14_00016,PSTOCK14,16,1400000829,16,2014,2014-08-30,F,410,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00017,PSTOCK14,17,1400000829,17,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00020,PSTOCK14,20,1400000829,20,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00021,PSTOCK14,21,1400000829,21,2014,2014-08-30,F,445,NO,NA,Natural,Female,2014-08-30,242,2,even
PS14_00022,PSTOCK14,22,1400000829,22,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00025,PSTOCK14,25,1400000829,25,2014,2014-08-30,F,425,NO,NA,Natural,Female,2014-08-30,242,2,even
PS14_00026,PSTOCK14,26,1400000829,26,2014,2014-08-30,F,430,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00027,PSTOCK14,27,1400000829,27,2014,2014-08-30,M,425,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00028,PSTOCK14,28,1400000829,28,2014,2014-08-30,F,405,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00029,PSTOCK14,29,1400000829,29,2014,2014-08-30,F,430,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00031,PSTOCK14,31,1400000829,31,2014,2014-08-30,F,450,YES,AFK12B,Hatchery,Female,2014-08-30,242,1,even
PS14_00032,PSTOCK14,32,1400000829,32,2014,2014-08-30,F,420,YES,AFK12B,Hatchery,Female,2014-08-30,242,3,even
PS14_00033,PSTOCK14,33,1400000829,33,2014,2014-08-30,F,430,YES,AFK12B,Hatchery,Female,2014-08-30,242,1,even
PS14_00036,PSTOCK14,36,1400000829,36,2014,2014-08-30,F,440,YES,WNH12PINKB,Hatchery,Female,2014-08-30,242,0,NA
PS14_00038,PSTOCK14,38,1400000829,38,2014,2014-08-30,F,415,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00040,PSTOCK14,40,1400000829,40,2014,2014-08-30,F,410,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00041,PSTOCK14,41,1400000829,41,2014,2014-08-30,F,410,YES,WNH12PINKB,Hatchery,Female,2014-08-30,242,1,even
PS14_00045,PSTOCK14,45,1400000829,45,2014,2014-08-30,F,430,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00046,PSTOCK14,46,1400000829,46,2014,2014-08-30,F,455,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00048,PSTOCK14,48,1400000829,48,2014,2014-08-30,F,425,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00054,PSTOCK14,54,1400000824,6,2014,2014-08-30,M,395,YES,AFK12B,Hatchery,Male,2014-08-30,242,1,even
PS14_00057,PSTOCK14,57,1400000824,9,2014,2014-08-30,F,430,NO,NA,Natural,Female,2014-08-30,242,2,even
PS14_00058,PSTOCK14,58,1400000824,10,2014,2014-08-30,F,455,NO,NA,Natural,Female,2014-08-30,242,0,NA
PS14_00059,PSTOCK14,59,1400000824,11,2014,2014-08-30,M,385,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00060,PSTOCK14,60,1400000824,12,2014,2014-08-30,M,NA,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00061,PSTOCK14,61,1400000824,13,2014,2014-08-30,M,425,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00063,PSTOCK14,63,1400000824,15,2014,2014-08-30,M,405,NO,NA,Natural,Male,2014-08-30,242,0,NA
PS14_00065,PSTOCK14,65,1400000824,17,2014,2014-08-30,M,400,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00066,PSTOCK14,66,1400000824,18,2014,2014-08-30,F,425,NO,NA,Natural,Female,2014-08-30,242,1,even
PS14_00067,PSTOCK14,67,1400000824,19,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,5,even
PS14_00068,PSTOCK14,68,1400000824,20,2014,2014-08-30,M,370,NO,NA,Natural,Male,2014-08-30,242,4,even
PS14_00069,PSTOCK14,69,1400000824,21,2014,2014-08-30,F,445,YES,AFK12B,Hatchery,Female,2014-08-30,242,10,even
PS14_00070,PSTOCK14,70,1400000824,22,2014,2014-08-30,F,415,NO,NA,Natural,Female,2014-08-30,242,2,even
PS14_00071,PSTOCK14,71,1400000824,23,2014,2014-08-30,M,390,YES,AFK12B,Hatchery,Male,2014-08-30,242,1,even
PS14_00072,PSTOCK14,72,1400000824,24,2014,2014-08-30,M,425,NO,NA,Natural,Male,2014-08-30,242,3,even
PS14_00073,PSTOCK14,73,1400000824,25,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,2,even
PS14_00074,PSTOCK14,74,1400000824,26,2014,2014-08-30,F,415,NO,NA,Natural,Female,2014-08-30,242,3,even
PS14_00076,PSTOCK14,76,1400000824,28,2014,2014-08-30,M,435,NO,NA,Natural,Male,2014-08-30,242,3,even
PS14_00078,PSTOCK14,78,1400000824,30,2014,2014-08-30,M,435,NO,NA,Natural,Male,2014-08-30,242,0,NA
PS14_00080,PSTOCK14,80,1400000824,32,2014,2014-08-30,M,410,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00081,PSTOCK14,81,1400000824,33,2014,2014-08-30,F,455,NO,NA,Natural,Female,2014-08-30,242,5,even
PS14_00085,PSTOCK14,85,1400000824,37,2014,2014-08-30,F,425,NO,NA,Natural,Female,2014-08-30,242,7,even
PS14_00086,PSTOCK14,86,1400000824,38,2014,2014-08-30,F,420,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA
PS14_00087,PSTOCK14,87,1400000824,39,2014,2014-08-30,M,395,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00088,PSTOCK14,88,1400000824,40,2014,2014-08-30,M,NA,NO,NA,Natural,Male,2014-08-30,242,0,NA
PS14_00089,PSTOCK14,89,1400000824,41,2014,2014-08-30,F,395,NO,NA,Natural,Female,2014-08-30,242,1,even
PS14_00092,PSTOCK14,92,1400000824,44,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,1,even
PS14_00093,PSTOCK14,93,1400000824,45,2014,2014-08-30,F,430,NO,NA,Natural,Female,2014-08-30,242,6,even
PS14_00095,PSTOCK14,95,1400000824,47,2014,2014-08-30,M,420,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00096,PSTOCK14,96,1400000824,48,2014,2014-08-30,M,425,YES,AFK12B,Hatchery,Male,2014-08-30,242,0,NA
PS14_00098,PSTOCK14,98,1400000734,2,2014,2014-08-26,M,400,YES,AFK12B,Hatchery,Male,2014-08-26,238,0,NA
PS14_00099,PSTOCK14,99,1400000734,3,2014,2014-08-26,F,405,NO,NA,Natural,Female,2014-08-26,238,0,NA
PS14_00100,PSTOCK14,100,1400000734,4,2014,2014-08-26,M,400,NO,NA,Natural,Male,2014-08-26,238,0,NA
PS14_00102,PSTOCK14,102,1400000734,6,2014,2014-08-26,M,420,YES,AFK12B,Hatchery,Male,2014-08-26,238,1,even
PS14_00103,PSTOCK14,103,1400000734,7,2014,2014-08-26,M,425,YES,AFK12B,Hatchery,Male,2014-08-26,238,10,even
PS14_00104,PSTOCK14,104,1400000734,8,2014,2014-08-26,F,365,NO,NA,Natural,Female,2014-08-26,238,2,even
PS14_00105,PSTOCK14,105,1400000734,9,2014,2014-08-26,M,460,NO,NA,Natural,Male,2014-08-26,238,1,even
PS14_00106,PSTOCK14,106,1400000868,1,2014,2014-09-05,F,445,NO,NA,Natural,Female,2014-09-05,248,0,NA
PS14_00110,PSTOCK14,110,1400000868,5,2014,2014-09-05,F,415,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00111,PSTOCK14,111,1400000868,6,2014,2014-09-05,M,410,YES,AFK12B,Hatchery,Male,2014-09-05,248,0,NA
PS14_00112,PSTOCK14,112,1400000868,7,2014,2014-09-05,F,400,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00113,PSTOCK14,113,1400000868,8,2014,2014-09-05,F,395,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00114,PSTOCK14,114,1400000868,9,2014,2014-09-05,F,425,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00115,PSTOCK14,115,1400000868,10,2014,2014-09-05,M,420,YES,AFK12B,Hatchery,Male,2014-09-05,248,0,NA
PS14_00117,PSTOCK14,117,1400000868,12,2014,2014-09-05,M,445,YES,AFK12B,Hatchery,Male,2014-09-05,248,0,NA
PS14_00122,PSTOCK14,122,1400000868,17,2014,2014-09-05,F,415,YES,AFK12B,Hatchery,Female,2014-09-05,248,1,even
PS14_00123,PSTOCK14,123,1400000868,18,2014,2014-09-05,F,480,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00126,PSTOCK14,126,1400000868,21,2014,2014-09-05,F,NA,NO,NA,Natural,Female,2014-09-05,248,0,NA
PS14_00128,PSTOCK14,128,1400000868,23,2014,2014-09-05,M,NA,YES,AFK12B,Hatchery,Male,2014-09-05,248,0,NA
PS14_00129,PSTOCK14,129,1400000868,24,2014,2014-09-05,F,NA,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00133,PSTOCK14,133,1400000868,28,2014,2014-09-05,M,NA,NO,NA,Natural,Male,2014-09-05,248,1,even
PS14_00134,PSTOCK14,134,1400000868,29,2014,2014-09-05,F,445,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00135,PSTOCK14,135,1400000868,30,2014,2014-09-05,F,420,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00136,PSTOCK14,136,1400000868,31,2014,2014-09-05,F,465,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00138,PSTOCK14,138,1400000868,33,2014,2014-09-05,F,450,YES,AFK12B,Hatchery,Female,2014-09-05,248,1,even
PS14_00145,PSTOCK14,145,1400000868,40,2014,2014-09-05,M,445,YES,AFK12B,Hatchery,Male,2014-09-05,248,0,NA
PS14_00146,PSTOCK14,146,1400000868,41,2014,2014-09-05,M,435,YES,AFK12B,Hatchery,Male,2014-09-05,248,1,even
PS14_00148,PSTOCK14,148,1400000868,43,2014,2014-09-05,F,440,NO,NA,Natural,Female,2014-09-05,248,0,NA
PS14_00149,PSTOCK14,149,1400000868,44,2014,2014-09-05,F,445,NO,NA,Natural,Female,2014-09-05,248,1,even
PS14_00150,PSTOCK14,150,1400000868,45,2014,2014-09-05,F,420,NO,NA,Natural,Female,2014-09-05,248,1,even
PS14_00156,PSTOCK14,156,1400000869,3,2014,2014-09-05,F,430,NO,NA,Natural,Female,2014-09-05,248,8,even
PS14_00158,PSTOCK14,158,1400000869,5,2014,2014-09-05,M,440,YES,AFK12B,Hatchery,Male,2014-09-05,248,0,NA
PS14_00160,PSTOCK14,160,1400000869,7,2014,2014-09-05,F,460,YES,AFK12B,Hatchery,Female,2014-09-05,248,4,even
PS14_00161,PSTOCK14,161,1400000869,8,2014,2014-09-05,F,455,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00162,PSTOCK14,162,1400000869,9,2014,2014-09-05,F,435,YES,AFK12B,Hatchery,Female,2014-09-05,248,0,NA
PS14_00163,PSTOCK14,163,1400000869,10,2014,2014-09-05,F,450,NO,NA,Natural,Female,2014-09-05,248,2,even
PS14_00164,PSTOCK14,164,1400000869,11,2014,2014-09-05,F,445,YES,AFK12B,Hatchery,Female,2014-09-05,248,2,even
PS14_00165,PSTOCK14,165,1400000869,12,2014,2014-09-05,F,440,NO,NA,Natural,Female,2014-09-05,248,3,even
