variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),1.3744449542160366,0.13290032209022137,10.341923425008511,4.553059515809491e-25,RS.glm.M.23,n ~ Intertidal + origin,1128.8687740965488,326.6901520885943,340,404.4530467678259,342,4,1.9895130037792947e-30,136.77928776922772
IntertidalUpstream,-0.6457367687230852,0.16881225472219336,-3.8251770867330976,1.3067811866459894e-4,RS.glm.M.23,n ~ Intertidal + origin,1128.8687740965488,326.6901520885943,340,404.4530467678259,342,4,1.9895130037792947e-30,136.77928776922772
originHatchery,-1.179794456190747,0.16878053012605296,-6.990109909653815,2.7467097905957545e-12,RS.glm.M.23,n ~ Intertidal + origin,1128.8687740965488,326.6901520885943,340,404.4530467678259,342,4,1.9895130037792947e-30,136.77928776922772
(Intercept),1.5292164818453178,0.14372592988226765,10.639809275180669,1.9452711640695963e-26,RS.glm.M.7,n ~ Distance,1130.6893179701128,320.94081883110863,341,392.08140386851306,342,3,8.006094332930898e-31,138.59983164279174
Distance,-0.0024385478676678517,2.812503731528566e-4,-8.670380914810474,4.3067716894229955e-18,RS.glm.M.7,n ~ Distance,1130.6893179701128,320.94081883110863,341,392.08140386851306,342,3,8.006094332930898e-31,138.59983164279174
(Intercept),813.6963195125982,301.73826364062415,2.6966958372960135,0.007003120504013333,RS.glm.M.10,n ~ `Sample Date` + origin,1135.8775920508679,330.4060319856881,340,400.14303249727254,342,4,5.981378715956863e-32,143.78810572354678
`Sample Date`,-0.049826374015679784,0.018501429578352963,-2.693109405663313,0.007078903576304578,RS.glm.M.10,n ~ `Sample Date` + origin,1135.8775920508679,330.4060319856881,340,400.14303249727254,342,4,5.981378715956863e-32,143.78810572354678
originHatchery,-1.0635991924596102,0.17614644913872174,-6.0381528986825455,1.5588832156081687e-9,RS.glm.M.10,n ~ `Sample Date` + origin,1135.8775920508679,330.4060319856881,340,400.14303249727254,342,4,5.981378715956863e-32,143.78810572354678
(Intercept),920.3277499777912,415.18426965263353,2.216672974503078,0.026645446861656173,RS.glm.M.15,n ~ `Sample Date` * origin,1137.6726121334161,330.52515472791845,339,400.5647460428899,342,5,2.4379098531146243e-32,145.58312580609504
`Sample Date`,-0.05636465976255093,0.025457544585969383,-2.2140650514117386,0.02682430433602377,RS.glm.M.15,n ~ `Sample Date` * origin,1137.6726121334161,330.52515472791845,339,400.5647460428899,342,5,2.4379098531146243e-32,145.58312580609504
originHatchery,-264.17637712030273,605.049910319033,-0.43661914928804274,0.6623875727776387,RS.glm.M.15,n ~ `Sample Date` * origin,1137.6726121334161,330.52515472791845,339,400.5647460428899,342,5,2.4379098531146243e-32,145.58312580609504
`Sample Date`:originHatchery,0.0161310768295048,0.03709520509970029,0.4348561164751487,0.6636668694027799,RS.glm.M.15,n ~ `Sample Date` * origin,1137.6726121334161,330.52515472791845,339,400.5647460428899,342,5,2.4379098531146243e-32,145.58312580609504
(Intercept),1571.7774240800245,292.7224170122211,5.369515051573256,7.894864803714991e-8,RS.glm.M.21,n ~ `Sample Date` + Intertidal,1141.3981895072247,325.4503559295134,340,386.79847739673556,342,4,3.7845896291677895e-33,149.30870317990366
`Sample Date`,-0.09630890237452132,0.01794706041593067,-5.366277270066631,8.037834875340215e-8,RS.glm.M.21,n ~ `Sample Date` + Intertidal,1141.3981895072247,325.4503559295134,340,386.79847739673556,342,4,3.7845896291677895e-33,149.30870317990366
IntertidalUpstream,-0.9185750467979183,0.16810580356784224,-5.464267308458569,4.648226587045342e-8,RS.glm.M.21,n ~ `Sample Date` + Intertidal,1141.3981895072247,325.4503559295134,340,386.79847739673556,342,4,3.7845896291677895e-33,149.30870317990366
(Intercept),1.1131052959706806,0.1198993506133142,9.283664092231339,1.6374836412627255e-20,RS.glm.M.4,n ~ origin,1141.8641582229018,328.43341548553997,341,387.4442953170508,342,3,2.998023094262918e-33,149.7746718955807
originHatchery,-1.2648317321864297,0.16730622257048897,-7.559980213249597,4.031306802783194e-14,RS.glm.M.4,n ~ origin,1141.8641582229018,328.43341548553997,341,387.4442953170508,342,3,2.998023094262918e-33,149.7746718955807
(Intercept),1428.918394311568,299.06125038683115,4.778012505676626,1.7703637282987641e-6,RS.glm.M.6,n ~ `Sample Date`,1168.0566001951622,326.7093665722107,341,354.37627555941873,342,3,6.154864068766074e-39,175.96711386784114
`Sample Date`,-0.08757580003631842,0.018335189711931137,-4.776378178368713,1.7848059395170332e-6,RS.glm.M.6,n ~ `Sample Date`,1168.0566001951622,326.7093665722107,341,354.37627555941873,342,3,6.154864068766074e-39,175.96711386784114
(Intercept),0.9189538492936438,0.12678369553464763,7.248202108468361,4.223400902384127e-13,RS.glm.M.18,n ~ Intertidal,1174.1942735854911,324.6169456842656,341,345.28891079111895,342,3,2.8604846614996246e-40,182.10478725817006
IntertidalUpstream,-0.7971489754094369,0.17631523672166566,-4.521157616501575,6.150237205104327e-6,RS.glm.M.18,n ~ Intertidal,1174.1942735854911,324.6169456842656,341,345.28891079111895,342,3,2.8604846614996246e-40,182.10478725817006
