variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),-0.454709126899822,1.6173754734908874,-0.28114011517584936,0.7786029339704679,RS.glm.F.3,n ~ `Length Mm` + origin,1323.197980253098,406.23635548276565,408,441.9828076197959,410,4,1.2425705176423943e-16,73.22895275582619
`Length Mm`,0.0027854169525788636,0.003822457733763074,0.7286979076251863,0.46618647300413846,RS.glm.F.3,n ~ `Length Mm` + origin,1323.197980253098,406.23635548276565,408,441.9828076197959,410,4,1.2425705176423943e-16,73.22895275582619
originHatchery,-0.903415069166144,0.1556554343254033,-5.803941719615919,6.47737993068068e-9,RS.glm.F.3,n ~ `Length Mm` + origin,1323.197980253098,406.23635548276565,408,441.9828076197959,410,4,1.2425705176423943e-16,73.22895275582619
(Intercept),0.8140800404291633,1.9840971766200366,0.4103025043440517,0.681584055216198,RS.glm.F.16,n ~ `Length Mm` * origin,1323.9248693837899,406.3015728785677,407,443.48485409362377,410,5,8.639310355526896e-17,73.9558418865181
`Length Mm`,-2.2289315568381547e-4,0.004695568794342082,-0.04746882975123061,0.9621395725749124,RS.glm.F.16,n ~ `Length Mm` * origin,1323.9248693837899,406.3015728785677,407,443.48485409362377,410,5,8.639310355526896e-17,73.9558418865181
originHatchery,-4.862657936415938,3.499748354849867,-1.38943073712068,0.16470180903251483,RS.glm.F.16,n ~ `Length Mm` * origin,1323.9248693837899,406.3015728785677,407,443.48485409362377,410,5,8.639310355526896e-17,73.9558418865181
`Length Mm`:originHatchery,0.009153302199141495,0.008083978679624603,1.1322768851694385,0.2575180448614197,RS.glm.F.16,n ~ `Length Mm` * origin,1323.9248693837899,406.3015728785677,407,443.48485409362377,410,5,8.639310355526896e-17,73.9558418865181
(Intercept),2.6936724595855113,1.6118231027493446,1.6711960853463492,0.09468295323946262,RS.glm.F.5,n ~ `Length Mm`,1352.5007503557038,401.7966461550506,409,403.99730159987166,410,3,5.386483885357254e-23,102.53172285843198
`Length Mm`,-0.005416985372207503,0.0037544442114356407,-1.4428195139264388,0.14907132061317654,RS.glm.F.5,n ~ `Length Mm`,1352.5007503557038,401.7966461550506,409,403.99730159987166,410,3,5.386483885357254e-23,102.53172285843198
(Intercept),394.33074758365365,247.28392008199637,1.5946477532906236,0.11079102757993359,RS.glm.F.12,n ~ `Sample Date` + Distance + origin,1359.6314891360325,454.17283191812135,446,591.5806332188823,449,5,1.523649637994245e-24,109.66246163876076
`Sample Date`,-0.024085974143109975,0.01515904306938787,-1.5888848677888596,0.11208638813907139,RS.glm.F.12,n ~ `Sample Date` + Distance + origin,1359.6314891360325,454.17283191812135,446,591.5806332188823,449,5,1.523649637994245e-24,109.66246163876076
Distance,-0.0019150177950055022,2.305412783907157e-4,-8.306615667151705,9.847023837105275e-17,RS.glm.F.12,n ~ `Sample Date` + Distance + origin,1359.6314891360325,454.17283191812135,446,591.5806332188823,449,5,1.523649637994245e-24,109.66246163876076
originHatchery,-0.46415050672664737,0.13456622025922743,-3.4492349256188595,5.621773768873658e-4,RS.glm.F.12,n ~ `Sample Date` + Distance + origin,1359.6314891360325,454.17283191812135,446,591.5806332188823,449,5,1.523649637994245e-24,109.66246163876076
(Intercept),1.4323251091546456,0.1187363521656489,12.063071528055797,1.6549366865778038e-33,RS.glm.F.13,n ~ Distance + origin,1360.3314672393512,452.331738752569,447,585.1527772928164,449,4,1.0737095080718773e-24,110.36243974207946
Distance,-0.00196442193896844,2.298317093474665e-4,-8.547218939222036,1.2608986684045734e-17,RS.glm.F.13,n ~ Distance + origin,1360.3314672393512,452.331738752569,447,585.1527772928164,449,4,1.0737095080718773e-24,110.36243974207946
originHatchery,-0.4852724019740092,0.13463006837197986,-3.6044875252771353,3.1276947052093814e-4,RS.glm.F.13,n ~ Distance + origin,1360.3314672393512,452.331738752569,447,585.1527772928164,449,4,1.0737095080718773e-24,110.36243974207946
(Intercept),1.4456087769980923,0.1448011456194113,9.983407042908793,1.8017168847728563e-23,RS.glm.F.14,n ~ Distance * origin,1362.308282713086,452.17539520018664,446,584.9655241171024,449,5,3.9960119008488427e-25,112.33925521581432
Distance,-0.001999984568590614,3.1959150716767443e-4,-6.257940288573805,3.900951128845227e-10,RS.glm.F.14,n ~ Distance * origin,1362.308282713086,452.17539520018664,446,584.9655241171024,449,5,3.9960119008488427e-25,112.33925521581432
originHatchery,-0.51671760314785,0.2542396425763988,-2.0324037506958685,0.04211279870678286,RS.glm.F.14,n ~ Distance * origin,1362.308282713086,452.17539520018664,446,584.9655241171024,449,5,3.9960119008488427e-25,112.33925521581432
Distance:originHatchery,6.902847823488534e-5,4.6061201959100845e-4,0.14986252051385426,0.8808730820089826,RS.glm.F.14,n ~ Distance * origin,1362.308282713086,452.17539520018664,446,584.9655241171024,449,5,3.9960119008488427e-25,112.33925521581432
(Intercept),463.8611253514849,249.58005896068505,1.8585664547204643,0.06308861564447088,RS.glm.F.11,n ~ `Sample Date` + Distance,1369.4218334214854,454.0469556782257,447,574.8860953275445,449,4,1.1400892830067627e-26,119.45280592421364
`Sample Date`,-0.028353247238156427,0.015299635588941738,-1.853197553192023,0.06385404826135335,RS.glm.F.11,n ~ `Sample Date` + Distance,1369.4218334214854,454.0469556782257,447,574.8860953275445,449,4,1.1400892830067627e-26,119.45280592421364
Distance,-0.002145989306108602,2.238905433084625e-4,-9.584993070261083,9.246385119132595e-22,RS.glm.F.11,n ~ `Sample Date` + Distance,1369.4218334214854,454.0469556782257,447,574.8860953275445,449,4,1.1400892830067627e-26,119.45280592421364
(Intercept),1.349242173879978,0.11914830101580363,11.324057182326223,9.974628763483289e-30,RS.glm.F.7,n ~ Distance,1371.1358997951666,451.6537623615862,448,566.5434214956708,449,3,4.838759972724439e-27,121.16687229789477
Distance,-0.0022161209334159637,2.2310594276573852e-4,-9.933043046472738,2.989889332540978e-23,RS.glm.F.7,n ~ Distance,1371.1358997951666,451.6537623615862,448,566.5434214956708,449,3,4.838759972724439e-27,121.16687229789477
(Intercept),1.0209033043407991,0.11079466592887972,9.214372332654785,3.13104731845874e-20,RS.glm.F.24,n ~ Intertidal * origin,1373.937295632885,449.29450118434494,446,564.9739893377808,449,5,1.1923910358556255e-27,123.96826813561324
IntertidalUpstream,-0.7646845013447997,0.16601268749079673,-4.606181087136437,4.10131265686549e-6,RS.glm.F.24,n ~ Intertidal * origin,1373.937295632885,449.29450118434494,446,564.9739893377808,449,5,1.1923910358556255e-27,123.96826813561324
originHatchery,-0.26713150196441765,0.20478723027205634,-1.3044343712717732,0.1920855224534107,RS.glm.F.24,n ~ Intertidal * origin,1373.937295632885,449.29450118434494,446,564.9739893377808,449,5,1.1923910358556255e-27,123.96826813561324
IntertidalUpstream:originHatchery,-0.6497992058383746,0.27036688060266617,-2.4033979472261096,0.016243500156431542,RS.glm.F.24,n ~ Intertidal * origin,1373.937295632885,449.29450118434494,446,564.9739893377808,449,5,1.1923910358556255e-27,123.96826813561324
(Intercept),1.1356916320651513,0.1014658958023704,11.192840935216182,4.420395094169896e-29,RS.glm.F.23,n ~ Intertidal + origin,1377.7215694215115,448.3431182160159,447,555.9659022102146,449,4,1.7975214858771494e-28,127.75254192423972
IntertidalUpstream,-1.0166991623207213,0.1342451752737138,-7.573450295310528,3.634398047579112e-14,RS.glm.F.23,n ~ Intertidal + origin,1377.7215694215115,448.3431182160159,447,555.9659022102146,449,4,1.7975214858771494e-28,127.75254192423972
originHatchery,-0.6403548185225522,0.13620711300993532,-4.701331702668442,2.584702469175272e-6,RS.glm.F.23,n ~ Intertidal + origin,1377.7215694215115,448.3431182160159,447,555.9659022102146,449,4,1.7975214858771494e-28,127.75254192423972
(Intercept),285.39905382579065,267.38578240241907,1.067368097366753,0.2858056486790647,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,1378.4131328480435,449.1129143389711,446,558.7272151125563,449,5,1.27204653768082e-28,128.44410535077168
`Sample Date`,-0.017426284024402473,0.0163914160735581,-1.063134749688514,0.2877208476981928,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,1378.4131328480435,449.1129143389711,446,558.7272151125563,449,5,1.27204653768082e-28,128.44410535077168
IntertidalUpstream,-0.9835253389665852,0.13711646914562964,-7.172919089113909,7.341524712552499e-13,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,1378.4131328480435,449.1129143389711,446,558.7272151125563,449,5,1.27204653768082e-28,128.44410535077168
originHatchery,-0.6262045590377948,0.13626747039687925,-4.595407526198094,4.319043074673944e-6,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,1378.4131328480435,449.1129143389711,446,558.7272151125563,449,5,1.27204653768082e-28,128.44410535077168
(Intercept),379.39680819342726,272.6496926645252,1.3915174614197943,0.16406856839701944,RS.glm.F.21,n ~ `Sample Date` + Intertidal,1398.0233854388982,451.57059326939634,447,533.8752475829202,449,4,7.017634672483322e-33,148.05435794162645
`Sample Date`,-0.02319998159223858,0.016713915440344913,-1.388063836690071,0.16511760729737093,RS.glm.F.21,n ~ `Sample Date` + Intertidal,1398.0233854388982,451.57059326939634,447,533.8752475829202,449,4,7.017634672483322e-33,148.05435794162645
IntertidalUpstream,-1.1038163933896592,0.13562421858325582,-8.138785276849783,3.992633422062306e-16,RS.glm.F.21,n ~ `Sample Date` + Intertidal,1398.0233854388982,451.57059326939634,447,533.8752475829202,449,4,7.017634672483322e-33,148.05435794162645
(Intercept),0.945536299970627,0.09806401145917083,9.64203162711025,5.312595873668071e-22,RS.glm.F.18,n ~ Intertidal,1398.3227921108466,450.7086272974298,448,529.8990240888879,449,3,6.041926294574225e-33,148.35376461357487
IntertidalUpstream,-1.1518727329684517,0.13235984776077908,-8.702584299207505,3.2441049145976913e-18,RS.glm.F.18,n ~ Intertidal,1398.3227921108466,450.7086272974298,448,529.8990240888879,449,3,6.041926294574225e-33,148.35376461357487
(Intercept),666.5921770603559,275.9368078114686,2.415742148890115,0.015703177224065893,RS.glm.F.10,n ~ `Sample Date` + origin,1427.0076070521316,444.57374605289255,447,490.6127041103529,449,4,3.567360517034808e-39,177.03857955485978
`Sample Date`,-0.04081927504310035,0.016914726773861518,-2.413238805972246,0.015811456097495735,RS.glm.F.10,n ~ `Sample Date` + origin,1427.0076070521316,444.57374605289255,447,490.6127041103529,449,4,3.567360517034808e-39,177.03857955485978
originHatchery,-0.8119352637357754,0.13899545913310754,-5.841451719356056,5.174787673630571e-9,RS.glm.F.10,n ~ `Sample Date` + origin,1427.0076070521316,444.57374605289255,447,490.6127041103529,449,4,3.567360517034808e-39,177.03857955485978
(Intercept),606.0461113274395,349.1191178153216,1.7359293158160078,0.08257633350287719,RS.glm.F.15,n ~ `Sample Date` * origin,1428.861556256857,444.29314299530347,446,490.4588499723821,449,5,1.4117800697942432e-39,178.89252875958528
`Sample Date`,-0.03710784097962512,0.021400727020728854,-1.7339523532860484,0.08292653755651773,RS.glm.F.15,n ~ `Sample Date` * origin,1428.861556256857,444.29314299530347,446,490.4588499723821,449,5,1.4117800697942432e-39,178.89252875958528
originHatchery,226.178281621521,568.3891240722414,0.3979285880789902,0.6906828262414317,RS.glm.F.15,n ~ `Sample Date` * origin,1428.861556256857,444.29314299530347,446,490.4588499723821,449,5,1.4117800697942432e-39,178.89252875958528
`Sample Date`:originHatchery,-0.013913729037840935,0.03484060545927246,-0.39935382449382617,0.6896325125475788,RS.glm.F.15,n ~ `Sample Date` * origin,1428.861556256857,444.29314299530347,446,490.4588499723821,449,5,1.4117800697942432e-39,178.89252875958528
(Intercept),0.6999422236927729,0.09165328007804549,7.636848600472906,2.2260299942690575e-14,RS.glm.F.4,n ~ origin,1431.5104358939095,443.15104812179237,448,481.6464777316861,449,3,3.7546559010152545e-40,181.54140839663773
originHatchery,-0.8599068733854478,0.13920583882289622,-6.177232798973749,6.523484900402809e-10,RS.glm.F.4,n ~ origin,1431.5104358939095,443.15104812179237,448,481.6464777316861,449,3,3.7546559010152545e-40,181.54140839663773
(Intercept),842.1967526367607,287.1368310869816,2.933085071143786,0.0033561191876979863,RS.glm.F.6,n ~ `Sample Date`,1457.5681475384392,440.33634728255635,448,450.5773843977682,449,3,8.245366277082342e-46,207.59912004116745
`Sample Date`,-0.05160381013755493,0.017600761702797455,-2.9319077781362752,0.003368867698521271,RS.glm.F.6,n ~ `Sample Date`,1457.5681475384392,440.33634728255635,448,450.5773843977682,449,3,8.245366277082342e-46,207.59912004116745
